objectid,wuname,wuc,hucarea,huc,swma,area_sqmi,st_areashape,st_perimetershape
384,Manawainui,6099,13256050.8105,6099,0,5.11800003,13256335.6597301,21704.851031803
387,Hahalawe,6087,1899447.20511,6087,0,0.73299998,1899481.43408006,10587.7462687839
386,Manawainui Gulch,6105,15565046.6786,6105,0,6.01000023,15565503.4337923,26811.2805582579
390,Waiopai,6103,13800634.4837,6103,0,5.32800007,13801002.0300002,22409.3054404672
429,Waipu,4010,1386163.1035,4010,0,0.53500003,1386151.69614806,7397.50034132929
430,Manawainui,4041,35429369.0484,4041,0,1.36699998,35428960.7297317,39777.3004759648
391,Waieli,6085,2465022.98655,6085,0,0.95200002,2465066.38895322,11473.252630721
392,Alelele,6096,3068473.06202,6096,0,1.18499994,3068535.64799454,14732.1883176958
393,Nuanuaaloa,6098,10864781.5257,6098,0,4.19500017,10865000.99296,19521.1798502346
394,Kipapa,6106,72869675.1013,6106,0,2.81299996,72872144.5303871,39220.5160290861
431,Anapuhi,4005,1139371.26563,4005,0,0.44,1139360.79854476,5073.23239819722
395,Nuu,6101,26875259.3985,6101,0,1.03699994,26875915.199651,24734.9162710671
432,Puukaoku,4013,786114.338302,4013,0,0.30399999,786108.099708089,4612.86107764517
397,Pahihi,6102,20115395.1972,6102,0,7.7670002,20115907.0066754,22186.7736151473
421,Wainene,4004,1384315.29851,4004,0,0.53399998,1384302.38226856,8965.90574222711
398,Poopoo,6104,4925554.48505,6104,0,1.90199995,4925684.21057802,20684.2388090431
399,Kalepa,6097,2496355.05367,6097,0,0.96399999,2496404.84702415,11990.6372630639
407,Ahihi Kinau,6108,9429204.03351,6108,0,3.64100003,9429541.29171299,16706.2542682776
424,Keawanui,4007,525876.487737,4007,0,0.20299999,525871.862118242,3677.23911694727
408,Mooloa,6109,4872718.22347,6109,0,1.88100004,4872894.17332375,13941.8505793963
409,Kaa,4048,8172132.0965,4048,0,3.15499997,8172028.73269426,24398.2258011644
410,Waihanau,4001,19810651.8857,4001,0,7.64900017,19810435.8620773,38753.0146094131
411,Waialeia,4002,11171955.3321,4002,0,4.31400013,11171842.5330213,25959.9971805684
412,Papohaku,4047,65190104.6502,4047,0,2.51699996,65189381.8927721,39392.878883938
425,Kailiili,4008,1269496.38109,4008,0,0.49000001,1269485.31776337,6239.61928023016
426,Wailau,4015,30619692.7477,4015,0,1.18200004,30619460.2685252,26407.4241903923
413,Moomomi,4049,29364632.941,4049,0,1.13300002,29364316.6353486,23826.2451169627
414,Maneopapa,4050,35366509.5294,4050,0,1.36500001,35366065.9703019,41266.1741332282
415,Kawainui,4019,9588620.754,4019,0,3.7019999,9588556.67258079,20291.0307923223
418,Halawa,4021,19577886.6105,4021,0,7.55900002,19577862.760302,24102.9731019376
